gene_id,condition,direction,endpoint_shift,recovery_shift,reversibility_index,persistence_breadth
AT4G30650,cold_high_light,up,1.984582081666666,0.34884127166666623,0.8242243166008498,1
AT4G33980,cold_high_light,up,0.8216509663333333,0.4055347866666654,0.5064391045794192,1
AT4G36010,cold_high_light,up,1.381599986666667,0.34454905800000013,0.7506159081317884,1
AT4G39952,cold_high_light,up,0.7699733833333333,0.345411264,0.5513984360022142,1
AT5G03210,cold_high_light,up,0.8115716833333337,0.5858823623333338,0.27808920103401813,2
AT5G04340,cold_high_light,up,0.5569545166666661,0.6773512136666664,-0.21616971116522432,2
AT5G06760,cold_high_light,up,0.9446186596666664,1.8143985639999984,-0.9207735792983984,4
AT5G09530,cold_high_light,up,0.8094549113333338,0.6480308010000009,0.19942322675815904,4
AT5G10140,cold_high_light,up,0.39740057900000014,0.3942551596666668,0.007914984274175807,1
AT5G10410,cold_high_light,up,0.7173040410000002,0.41110544066666677,0.4268742162757917,1
AT5G13170,cold_high_light,up,1.0235281329999992,1.0363461953333335,-0.01252340988006262,2
AT5G13330,cold_high_light,up,0.35536400899999965,0.4289347179999998,-0.20702915077705653,4
AT5G13370,cold_high_light,up,1.5616497603333324,0.3431141326666669,0.7802873977367182,7
AT5G15960,cold_high_light,up,4.737856928000001,1.305162346666667,0.7245247447314502,2
AT5G17460,cold_high_light,up,1.3516748966666672,0.8725218779999997,0.35448836095742786,2
AT5G22580,cold_high_light,down,-0.4552733166666645,-0.4067342966666665,0.10661512156122388,1
AT5G23240,cold_high_light,up,1.5746260299999983,0.5655155626666675,0.6408572245775284,2
AT5G24470,cold_high_light,up,2.293008845,0.509852941666666,0.7776489424458954,2
AT5G25110,cold_high_light,up,1.1595661640000001,0.43544867833333356,0.6244727624414077,1
AT5G25460,cold_high_light,down,-0.6578186433333357,-0.39881065999999876,0.39373767520615877,1
AT5G26220,cold_high_light,up,0.8539481006666669,0.34768692733333406,0.5928477069485849,1
AT5G35660,cold_high_light,up,0.4396455810000002,1.1158455206666666,-1.5380569460714453,2
AT5G40450,cold_high_light,down,-0.9410645533333337,-0.4193661966666653,0.5543704253005459,1
AT5G42900,cold_high_light,up,1.2390955860000004,0.49846137333333385,0.5977216132756575,1
AT5G48250,cold_high_light,up,1.880735340666666,0.4358939856666666,0.7682321503502163,1
AT5G49730,cold_high_light,down,-1.154109166666668,-0.36815304333333465,0.6810067418521204,1
AT5G50360,cold_high_light,up,0.4997003120000003,1.3668372313333337,-1.7353139441972827,2
AT5G50450,cold_high_light,up,1.2296342520000003,0.5129878249999997,0.5828126744471984,1
AT5G52300,cold_high_light,up,0.3967900879999995,2.2883154523333333,-4.767068083448033,5
AT5G53870,cold_high_light,up,0.9513957520000007,0.5032274436666677,0.471064020825408,2
AT5G54270,cold_high_light,down,-0.40131317333333527,-0.9038974800000013,-1.2523493871187075,1
AT5G58860,cold_high_light,up,0.39654721999999953,0.39924348700000056,-0.006799359228898405,1
AT5G60100,cold_high_light,up,1.958984592666667,0.4647167379999999,0.7627767264022203,1
AT5G61940,cold_high_light,up,0.8979368820000015,0.34407208300000036,0.6168193000006432,1
AT5G62360,cold_high_light,up,0.6684654713333318,0.3779793516666645,0.43455665568972335,1
AT5G64040,cold_high_light,down,-0.5734094900000013,-0.6667906733333329,-0.16285252504860237,1
AT5G66052,cold_high_light,up,1.194877543333333,0.34841538800000027,0.7084091253166991,3
AT5G66780,cold_high_light,up,0.5024564150000002,1.2967327039999996,-1.580786442939532,2
AT1G01480,drought,up,3.116782953,1.1515515073333336,0.6305320182064877,5
